Coin Name,Symbol,Launch Date,Token Address,Current Price (USD),Market Cap (USD),Trading Volume (24h),Circulating Supply,Total Supply,Price Change (24h),All-Time High (Price),All-Time Low (Price),Number of Holders,Transactions Count,Token Liquidity (USD),Returns (%)
LOLToken,$PEPE,2022-06-25,addr174,0.0004,63083,40461,149039448,276088120,5.18,0.0192,0.0094,14525,21152,20294,104.26
LOLToken,$GIGGLE,2022-06-25,addr971,0.0066,172527,41989,72595884,282099687,-4.32,0.0149,0.0062,14936,8315,48049,140.32
LOLToken,$MOONWAG,2023-03-30,addr17,0.0024,284297,30320,93485313,145296439,9.29,0.0179,0.0087,3451,35331,25786,105.75
DogeSun,$MEOW,2023-02-12,addr921,0.0079,212514,25102,63174111,69487501,-1.21,0.013,0.0088,14670,40268,89482,47.73
ChadCoin,$PEPE,2023-08-20,addr454,0.0046,191355,8335,92572750,213155048,4.87,0.0029,0.0016,8609,46232,11101,81.25
PepeSol,$GIGGLE,2021-04-05,addr26,0.0074,97958,12997,141661838,90325553,16.69,0.0132,0.0097,14966,21655,29472,36.08
SolDog,$GIGGLE,2021-04-05,addr393,0.002,181583,9505,162419137,155140323,15.42,0.0145,0.0027,6266,37047,50473,437.04
ShibaLight,$MEOW,2022-04-22,addr77,0.004,210325,18449,125397497,211748809,3.32,0.0131,0.0066,13616,24006,21876,98.48
ShibaSol,$SHIBALIGHT,2022-08-15,addr733,0.0071,275259,42806,110552253,140409520,-4.51,0.0149,0.007,14167,16909,37952,112.86
ShibaLight,$GIGGLE,2021-04-05,addr860,0.0087,172111,37653,156492123,94333439,11.54,0.0066,0.0071,10113,31683,62691,-7.04
JokeSol,$GIGGLE,2023-07-10,addr155,0.0092,341296,14703,183804531,97352471,-4.78,0.0176,0.0005,9522,36222,63410,3420.0
PugInu,$PUGINU,2022-12-25,addr801,0.0028,360200,22948,135833203,82876560,8.16,0.0113,0.0069,13542,13704,15530,63.77
PepeSol,$SHIBA,2023-09-05,addr851,0.0014,159721,32783,185505644,242292285,-7.85,0.0014,0.0034,10121,20632,38585,-58.82
ShibaSol,$DOGESUN,2021-04-05,addr122,0.0037,77937,19875,152444471,56819446,20.0,0.0136,0.0004,8558,40826,51877,3300.0
MoonPug,$DOGESUN,2022-08-15,addr944,0.0005,77771,47386,120739771,145982883,-3.01,0.0073,0.0087,8502,46255,56106,-16.09
ChadCoin,$SOLDOG,2022-12-15,addr173,0.0094,205114,11295,151970350,286806422,12.06,0.0157,0.0093,3628,22043,55157,68.82
LOLToken,$PEPE,2023-02-12,addr63,0.0013,280878,30944,158043208,284624296,14.6,0.0085,0.0074,10966,22335,57122,14.86
SwoleDoge,$MEOW,2022-12-15,addr617,0.0017,264331,23425,146388811,277079090,18.58,0.0075,0.0064,10781,45099,96565,17.19
SolCheems,$JOKESOL,2023-01-18,addr611,0.0052,178076,27491,139669883,99040265,1.2,0.0139,0.0088,6908,14497,11382,57.95
WoofSol,$SWOLEDOGE,2022-09-10,addr628,0.0065,252691,46868,163897751,135352017,-4.84,0.0127,0.0082,9098,35008,70924,54.88
JokeSol,$WOOFSOL,2023-03-14,addr859,0.0019,77633,35965,159844795,91137942,-9.32,0.0069,0.0049,11496,46919,18539,40.82
LOLToken,$DOGESUN,2022-08-15,addr495,0.0051,354063,11744,139328787,129091017,3.52,0.002,0.0029,10081,33505,89961,-31.03
MoonPug,$SOLDOG,2023-01-18,addr390,0.0013,123455,32055,127477902,151269404,-3.32,0.0057,0.0027,13772,7496,93232,111.11
ShibaSol,$MOONPUG,2022-12-15,addr827,0.007,169667,39953,86711609,209583572,9.6,0.0011,0.0092,8153,48698,94697,-88.04
MeowInu,$LOL,2022-12-15,addr188,0.002,418271,44581,129758093,263927546,-7.04,0.0084,0.007,12395,26807,79685,20.0
PepeSol,$PEPE,2023-09-05,addr648,0.0027,443228,6638,173098546,201888448,18.16,0.0023,0.0023,10664,13596,10170,0.0
JokeSol,$PUGINU,2023-03-14,addr328,0.0084,224377,44807,186049954,252880236,-0.58,0.0061,0.002,4114,18811,31700,205.0
ShibaLight,$SWOLEDOGE,2022-12-25,addr532,0.0062,202228,9179,189527906,191632317,1.24,0.0154,0.009,9459,12659,39163,71.11
DogeSun,$GIGGLE,2022-09-10,addr408,0.0089,119788,49903,59267066,276118040,7.23,0.0129,0.0008,12509,41113,56266,1512.5
SolCheems,$SOLDOG,2022-11-20,addr979,0.0095,84260,29809,175288945,299736382,0.32,0.0087,0.0007,10997,23171,91044,1142.86
MoonWag,$PEPE,2022-12-15,addr385,0.0071,413479,5825,93009510,146407746,-6.5,0.0179,0.0025,9256,29807,73759,616.0
MeowInu,$SOLDOG,2023-01-05,addr734,0.0036,272489,41832,99197188,197300217,-9.92,0.0097,0.0072,7290,42535,84086,34.72
SwoleDoge,$WOOFSOL,2023-06-15,addr381,0.0003,368328,26464,162412064,254261969,-6.2,0.0115,0.0063,7788,24817,66440,82.54
PugInu,$MOONWAG,2023-01-05,addr222,0.01,158228,28259,161776371,110750436,3.0,0.0026,0.0068,7195,33730,28411,-61.76
MeowInu,$PUGINU,2023-01-05,addr223,0.0013,467355,46286,192367848,248051358,7.59,0.0186,0.0031,12874,26167,77910,500.0
MeowInu,$PEPE,2023-01-18,addr932,0.0085,113158,48291,73038291,204851593,14.52,0.0189,0.0047,7597,38573,65563,302.13
PugInu,$CHAD,2023-01-05,addr352,0.0081,440481,5263,84408029,183721214,8.31,0.0172,0.0091,5938,39119,28784,89.01
DogeSun,$CHEEMS,2023-03-14,addr826,0.0004,442844,49198,82500274,277816788,5.57,0.0123,0.008,13369,5936,95722,53.75
PepeMoon,$MEOW,2023-06-15,addr277,0.0017,301537,35506,170013318,66334045,-4.04,0.0072,0.0061,10828,45282,85301,18.03
MemeFlare,$SHIBA,2023-01-18,addr505,0.0095,64623,12859,147732938,115446622,-6.83,0.0122,0.0023,10709,18354,64235,430.43
InuSpark,$INUSPARK,2021-04-05,addr569,0.0017,444896,25023,56138307,75978916,14.39,0.017,0.007,4658,21855,81869,142.86
WoofSol,$PEPE,2023-04-10,addr847,0.0009,478975,11046,135786351,142705596,18.97,0.0069,0.0065,11337,12166,45370,6.15
PepeSol,$DOGESUN,2023-09-05,addr146,0.004,407242,37553,172966372,259732038,15.93,0.013,0.0035,9552,27650,14883,271.43
MoonWag,$MOONPUG,2023-02-12,addr79,0.0057,208665,10782,61865970,64594563,-7.8,0.0161,0.0023,14566,17515,26184,600.0
PepeSol,$GIGGLE,2023-03-14,addr442,0.0056,339506,45877,72083699,201747348,-5.66,0.0118,0.0072,5281,36167,64494,63.89
ShibaLight,$SOLDOG,2022-11-20,addr283,0.0087,385443,14803,163015721,181254186,2.75,0.0173,0.0015,4067,25987,91948,1053.33
GiggleToken,$INUSPARK,2023-05-20,addr682,0.0022,403748,13350,99092139,289526714,8.93,0.0021,0.0062,5810,45513,15181,-66.13
ShibaSol,$MEMEFLARE,2022-06-25,addr431,0.0009,265771,7532,53287422,184375478,-4.49,0.0196,0.0018,5591,24685,39293,988.89
SolDog,$CHEEMS,2023-04-10,addr979,0.0044,326908,31085,133228087,247077563,-1.49,0.0064,0.0097,6543,5905,79616,-34.02
